시도,국어,,수학가,,수학나,
시도평균,표준점수,편차,표준점수,편차,표준점수,편차
서울,100.4,20.4,102.6,18.6,100.2,20.6
부산,98.4,19.1,100.9,18.5,99.6,19
대구,101,18.3,101.6,17.7,101.6,18.6
인천,95.7,19.4,95.6,19.8,98.2,18.8
광주,99.6,18.8,101.6,17.8,100.7,19
대전,98,19.6,98.5,19.4,97.2,19.2
울산,96.3,19.3,100.6,19,99.8,18.2
경기,97,20.4,98.6,19.9,98.1,19.7
강원,94.7,19.6,92.6,20.4,96.6,18.4
충북,97.7,18.9,93.4,20.6,99.5,18.2
충남,96,20.2,91.3,22.4,98.1,18.4
전북,97.8,19.3,93.3,20.7,98,18.9
전남,94.8,19.6,89.5,21.5,96.9,18.3
경북,96.7,19.9,93.8,21.5,98.4,18.7
경남,95.2,20,93.6,21.4,98.3,18.7
제주,102.3,18.3,105.9,15.5,104.9,18.8
세종,96.7,20.5,90.1,22.1,98,19.5
전체,97.8,19.9,98,20.1,98.9,19.4
