전 체,2018,2019,증감률,초등학교,중학교,고등학교
서울,41.1,45.1,9.6,38.5,46.3,55.6
부산,27.6,31.6,14.3,28.8,32.5,36
대구,30.3,32.9,8.6,29.5,34.2,37.5
인천,27.7,31.3,13,27.8,33.4,36.3
광주,26.2,27.6,5.3,24.3,31.9,29.7
대전,27,31.1,15,27.9,31.7,36.4
울산,26.5,27.4,3.6,24.8,30.3,30.2
세종,28.8,34.1,18.4,30.6,40.2,37.3
경기,32.1,35.8,11.7,33.2,35.7,41.4
강원,20.5,22,7.1,22.5,20.9,21.9
충북,24.4,24.3,-0.6,23.9,25.9,23.6
충남,18.7,23.7,26.9,21.6,28.1,23.8
전북,20.9,23.9,14,20.4,27.6,26.7
전남,19,18.1,-4.8,15.1,22.6,19.7
경북,21.4,22.5,5,21.4,25.7,21.6
경남,22.6,24.8,9.9,23.2,28.9,24.4
제주,23.2,25.8,11,22.8,29.8,28.1
